,id,x,y,osmid,geometry,highway
2452,2452,-73.9583477,40.7605433,42427968,POINT (-73.9583477 40.7605433),secondary
2453,2453,-74.0144384,40.7031516,42444353,POINT (-74.0144384 40.7031516),primary
2454,2454,-73.9579282,40.7611623,42427970,POINT (-73.9579282 40.7611623),secondary
2455,2455,-74.0130041,40.7031174,42444355,POINT (-74.0130041 40.7031174),residential
2456,2456,-73.9574532,40.7617963,42427972,POINT (-73.9574532 40.7617963),residential
2457,2457,-73.9569952,40.7624221,42427975,POINT (-73.95699519999999 40.7624221),secondary
2458,2458,-74.01257,40.703207,42444360,POINT (-74.01257 40.703207),residential
2459,2459,-73.9565374,40.7630478,42427979,POINT (-73.9565374 40.7630478),secondary
2460,2460,-73.956084,40.7636674,42427985,POINT (-73.956084 40.7636674),secondary
2461,2461,-73.9556238,40.7642963,42427991,POINT (-73.9556238 40.7642963),residential
2462,2462,-73.9551668,40.7649208,42427996,POINT (-73.9551668 40.7649208),secondary
2463,2463,-73.9479166,40.7871241,6181480033,POINT (-73.9479166 40.7871241),primary
2464,2464,-73.9547034,40.765554,42428003,POINT (-73.9547034 40.765554),residential
2465,2465,-73.9542449,40.7661805,42428005,POINT (-73.95424490000001 40.7661805),secondary
2466,2466,-73.9537482,40.7668593,42428007,POINT (-73.95374820000001 40.7668593),residential
2467,2467,-73.953249,40.7675414,42428010,POINT (-73.953249 40.7675414),secondary
2468,2468,-73.9985006,40.7534417,427845226,POINT (-73.9985006 40.7534417),unclassified
2469,2469,-73.9527843,40.7681847,42428012,POINT (-73.9527843 40.7681847),secondary
2470,2470,-73.9523229,40.7688236,42428013,POINT (-73.9523229 40.7688236),residential
2471,2471,-73.9518686,40.7694526,42428014,POINT (-73.9518686 40.7694526),residential
2472,2472,-73.9514149,40.7700762,42428015,POINT (-73.9514149 40.7700762),secondary
2473,2473,-73.9509381,40.7707103,42428016,POINT (-73.9509381 40.7707103),secondary
2474,2474,-73.9986974,40.7535262,427845234,POINT (-73.9986974 40.7535262),unclassified
2475,2475,-73.933289,40.838994,60925555,POINT (-73.933289 40.838994),motorway
2476,2476,-73.9504368,40.7714021,42428020,POINT (-73.95043680000001 40.7714021),secondary
2477,2477,-73.9499424,40.7720657,42428022,POINT (-73.9499424 40.7720657),secondary
2478,2478,-73.9494862,40.7726941,42428024,POINT (-73.9494862 40.7726941),secondary
2479,2479,-73.9490092,40.773343,42428027,POINT (-73.94900920000001 40.773343),secondary
2480,2480,-73.9485506,40.7739762,42428029,POINT (-73.9485506 40.7739762),residential
2481,2481,-74.007936,40.7055447,42444414,POINT (-74.007936 40.7055447),residential
2482,2482,-73.9480817,40.7746141,42428032,POINT (-73.9480817 40.7746141),secondary
2483,2483,-73.9476241,40.7752458,42428034,POINT (-73.9476241 40.7752458),secondary
2484,2484,-73.947122,40.775929,42428037,POINT (-73.94712199999999 40.775929),residential
2485,2485,-74.0055874,40.7179523,4143851142,POINT (-74.0055874 40.7179523),secondary
2486,2486,-73.9466301,40.7766012,42428039,POINT (-73.94663009999999 40.7766012),secondary
2487,2487,-74.0067906,40.7067331,42444424,POINT (-74.0067906 40.7067331),residential
2488,2488,-74.0052693,40.7182558,4143851144,POINT (-74.00526929999999 40.7182558),residential
2489,2489,-73.9461727,40.7772273,42428043,POINT (-73.94617270000001 40.7772273),residential
2490,2490,-73.9457131,40.7778572,42428045,POINT (-73.94571310000001 40.7778572),secondary
2491,2491,-73.9452574,40.7784828,42428047,POINT (-73.9452574 40.7784828),residential
2492,2492,-73.9447758,40.779146,42428049,POINT (-73.9447758 40.779146),secondary
2493,2493,-73.9443355,40.7797706,42428052,POINT (-73.94433549999999 40.7797706),residential
2494,2494,-73.9759984,40.7812798,42428061,POINT (-73.97599839999999 40.7812798),residential
2495,2495,-73.9788209,40.7824641,42428063,POINT (-73.9788209 40.7824641),residential
2496,2496,-73.9805809,40.7832069,42428065,POINT (-73.98058090000001 40.7832069),primary
2497,2497,-73.942262,40.806416,42444452,POINT (-73.942262 40.806416),secondary
2498,2498,-73.940646,40.805737,42444453,POINT (-73.940646 40.805737),primary
2499,2499,-73.9816869,40.7836714,42428068,POINT (-73.9816869 40.7836714),secondary
2500,2500,-73.9833075,40.784357,42428072,POINT (-73.9833075 40.784357),secondary
2501,2501,-73.938904,40.8050028,42444456,POINT (-73.93890399999999 40.8050028),primary
2502,2502,-73.9374246,40.8043853,42444457,POINT (-73.9374246 40.8043853),secondary
2503,2503,-73.9358199,40.8037216,42444458,POINT (-73.9358199 40.8037216),primary
2504,2504,-73.9311972,40.8017608,42444461,POINT (-73.9311972 40.8017608),primary
2505,2505,-73.9313827,40.8474237,42428080,POINT (-73.9313827 40.8474237),residential
2506,2506,-73.932849,40.848038,42428082,POINT (-73.932849 40.848038),residential
2507,2507,-73.934239,40.848626,42428086,POINT (-73.93423900000001 40.848626),secondary
2508,2508,-73.935471,40.849145,42428090,POINT (-73.93547100000001 40.849145),tertiary
2509,2509,-73.936397,40.849541,42428094,POINT (-73.936397 40.849541),primary
2510,2510,-74.0144036,40.7036143,42444479,POINT (-74.01440359999999 40.7036143),residential
2511,2511,-74.013114,40.703588,42444480,POINT (-74.013114 40.703588),residential
2512,2512,-73.9631956,40.7542669,370927297,POINT (-73.96319560000001 40.7542669),residential
2513,2513,-73.9567218,40.7866026,42444485,POINT (-73.9567218 40.7866026),secondary
2514,2514,-73.9551138,40.7859253,42444487,POINT (-73.95511380000001 40.7859253),secondary
2515,2515,-73.9396399,40.8501784,42428103,POINT (-73.9396399 40.8501784),residential
2516,2516,-73.9533973,40.7852031,42444491,POINT (-73.95339730000001 40.7852031),secondary
2517,2517,-73.940603,40.8503746,42428107,POINT (-73.940603 40.8503746),residential
2518,2518,-73.9518834,40.7845645,42444495,POINT (-73.9518834 40.7845645),secondary
2519,2519,-73.9414149,40.848223,42428114,POINT (-73.9414149 40.848223),residential
2520,2520,-73.9502957,40.7839085,42444500,POINT (-73.9502957 40.7839085),primary
2521,2521,-73.9333479,40.8642126,374482644,POINT (-73.9333479 40.8642126),motorway
2522,2522,-73.94567,40.781947,42444506,POINT (-73.94567000000001 40.781947),primary
2523,2523,-73.9402247,40.8513418,42428124,POINT (-73.9402247 40.8513418),residential
2524,2524,-73.938652,40.854677,42428130,POINT (-73.938652 40.854677),residential
2525,2525,-73.9379223,40.8556043,42428134,POINT (-73.9379223 40.8556043),residential
2526,2526,-73.936584,40.8573519,42428144,POINT (-73.936584 40.8573519),residential
2527,2527,-73.9903368,40.7371276,42428170,POINT (-73.99033679999999 40.7371276),residential
2528,2528,-73.9901312,40.7378014,42428174,POINT (-73.99013119999999 40.7378014),residential
2529,2529,-73.9899514,40.7384888,42428179,POINT (-73.9899514 40.7384888),residential
2530,2530,-73.9332979,40.847227,60925716,POINT (-73.9332979 40.847227),motorway
2531,2531,-73.9897657,40.739176,42428183,POINT (-73.98976570000001 40.739176),residential
2532,2532,-73.9333142,40.8470953,60925728,POINT (-73.9333142 40.8470953),motorway
2533,2533,-73.989584,40.7398521,42428192,POINT (-73.98958399999999 40.7398521),residential
2534,2534,-73.9808012,40.7142254,5804713763,POINT (-73.9808012 40.7142254),primary
2535,2535,-73.9867833,40.7815396,61269797,POINT (-73.9867833 40.7815396),motorway_link
2536,2536,-73.9340691,40.8375512,42444581,POINT (-73.9340691 40.8375512),motorway_link
2537,2537,-73.9893518,40.7405826,42428198,POINT (-73.98935179999999 40.7405826),residential
2538,2538,-73.9891371,40.7413644,42428201,POINT (-73.98913709999999 40.7413644),secondary
2539,2539,-73.9891049,40.7422202,42428206,POINT (-73.9891049 40.7422202),secondary
2540,2540,-73.9891667,40.7430463,42428212,POINT (-73.9891667 40.7430463),residential
2541,2541,-73.9890293,40.7438037,42428216,POINT (-73.9890293 40.7438037),residential
2542,2542,-73.9888931,40.7445356,42428220,POINT (-73.9888931 40.7445356),tertiary
2543,2543,-73.9887531,40.7452886,42428223,POINT (-73.9887531 40.7452886),residential
2544,2544,-73.9884704,40.7468077,42428227,POINT (-73.9884704 40.7468077),tertiary
2545,2545,-73.9883321,40.7475512,42428232,POINT (-73.98833209999999 40.7475512),residential
2546,2546,-73.9256966,40.8753932,5771241290,POINT (-73.92569659999999 40.8753932),motorway
2547,2547,-73.9246941,40.8758499,5771241294,POINT (-73.9246941 40.8758499),motorway_link
2548,2548,-73.933519,40.8470301,60925784,POINT (-73.933519 40.8470301),motorway
2549,2549,-73.9250176,40.8761912,5771241304,POINT (-73.9250176 40.8761912),motorway_link
2550,2550,-73.9258228,40.8757796,5771241307,POINT (-73.92582280000001 40.8757796),motorway
2551,2551,-73.9878136,40.7506917,42428253,POINT (-73.9878136 40.7506917),residential
2552,2552,-73.9876732,40.751444,42428258,POINT (-73.9876732 40.751444),residential
2553,2553,-73.9336011,40.8469279,60925795,POINT (-73.9336011 40.8469279),motorway
2554,2554,-73.9875229,40.7521844,42428264,POINT (-73.9875229 40.7521844),secondary
2555,2555,-73.9873336,40.7529078,42428268,POINT (-73.9873336 40.7529078),residential
2556,2556,-73.9871097,40.7536275,42428272,POINT (-73.9871097 40.7536275),residential
2557,2557,-73.9166074,40.8643376,3718637426,POINT (-73.9166074 40.8643376),residential
2558,2558,-73.9868863,40.7543309,42428277,POINT (-73.98688629999999 40.7543309),residential
2559,2559,-73.9866586,40.7550505,42428283,POINT (-73.9866586 40.7550505),residential
2560,2560,-73.9864171,40.7558122,42428287,POINT (-73.9864171 40.7558122),primary
2561,2561,-74.0058581,40.7331346,339044224,POINT (-74.0058581 40.7331346),residential
2562,2562,-73.9855335,40.7579634,42428297,POINT (-73.9855335 40.7579634),secondary
2563,2563,-73.9851384,40.7594263,42428303,POINT (-73.9851384 40.7594263),unclassified
