id	osmid	x	y
342	560891038	24.9936156	60.2729402
343	490177695	25.0896053	60.2150031
344	1502792004	25.0725414	60.2671386
345	560891040	24.9934042	60.2729418
346	490177698	25.0895891	60.214945
347	490177699	25.089436	60.2148809
348	560891042	24.9942106	60.2731706
349	560891045	24.9929282	60.2731189
350	250545321	24.9483658	60.1871354
351	1374618799	24.9618759	60.1743002
352	355435695	25.075735	60.2271295
353	33686710	25.0283502	60.2602722
354	91292856	25.0158911	60.2686967
355	33981625	24.9510358	60.2031552
356	35652805	24.9662991	60.2214882
357	33686726	25.0258457	60.2586015
358	33981643	24.9553545	60.2049188
359	1387103437	24.9271536	60.1783595
360	33981647	24.9595337	60.2069147
361	33981651	24.9645536	60.2093562
362	33752278	24.8812193	60.1505111
363	33752279	24.8820456	60.1486196
364	33752280	24.882563	60.1473878
365	33752281	24.8837154	60.1488048
366	33752282	24.8838595	60.1488442
367	1387103451	24.9227268	60.1788262
368	35652823	24.9658546	60.2218213
369	1387103453	24.9227252	60.1790881
370	29787356	24.9907468	60.2755702
371	26379483	25.2152059	60.2689777
372	1387103457	24.9251336	60.1792183
373	29787365	24.9899336	60.2772578
374	1387103463	24.9258101	60.179257
375	1387103465	24.9230466	60.179306
376	1387103479	24.9249786	60.1800482
377	29787387	24.9878395	60.2769564
378	1520043261	24.9242964	60.1965047
379	33752318	24.8828636	60.1506839
380	29787390	24.992466	60.2777765
381	29787391	24.9936995	60.2781583
382	33752321	24.8844429	60.1475804
383	29787392	24.9947895	60.2785176
384	29787394	24.997347	60.2791855
385	29787393	24.9957265	60.2788149
386	88245509	24.863513	60.2271075
387	29787399	25.0038151	60.2799274
388	26379528	25.1840319	60.2639941
389	1359938836	25.0317359	60.1961081
390	29787417	25.0006673	60.2816113
